TotalSF,GrLivArea,1stFlrSF,TotalBsmtSF,OverallQual,OverallCond,ExterQual_num,KitchenQual_num,HouseAge,YearsSinceRemodel,TotalBath,GarageCars,GarageArea,Fireplaces,HasBasement,HasGarage,LotArea,SalePrice
2566,1710,856,856,7,5,4,4,21,21,3.5,2,548,0,1,1,8450,208500
2524,1262,1262,1262,6,8,3,3,48,48,2.5,2,460,1,1,1,9600,181500
2706,1786,920,920,7,5,4,4,23,22,3.5,2,608,1,1,1,11250,223500
2473,1717,961,756,7,5,3,4,109,54,2.0,3,642,1,1,1,9550,140000
3343,2198,1145,1145,8,5,4,4,24,24,3.5,3,836,1,1,1,14260,250000
2158,1362,796,796,5,5,3,3,31,29,2.5,2,480,0,1,1,14115,143000
3380,1694,1694,1686,8,5,4,4,20,19,3.0,2,636,1,1,1,10084,307000
3197,2090,1107,1107,7,6,3,3,51,51,3.5,2,484,2,1,1,10382,200000
2726,1774,1022,952,7,5,3,3,93,74,2.0,2,468,2,1,1,6120,129900
2068,1077,1077,991,5,6,3,3,85,74,2.0,1,205,2,1,1,7420,118000
2080,1040,1040,1040,5,5,3,3,59,59,2.0,1,384,0,1,1,11200,129500
3499,2324,1182,1175,9,5,5,5,19,18,4.0,3,736,2,1,1,11924,345000
1824,912,912,912,5,6,3,3,62,62,2.0,1,352,0,1,1,12968,144000
2988,1494,1494,1494,7,5,4,4,18,17,2.0,3,840,1,1,1,10652,279500
2506,1253,1253,1253,6,5,3,3,64,64,2.5,1,352,1,1,1,10920,157000
1686,854,854,832,7,8,3,3,95,23,1.0,2,576,0,1,1,6120,132000
2008,1004,1004,1004,6,7,3,3,54,54,2.0,2,480,1,1,1,11241,149000
1296,1296,1296,0,4,5,3,3,57,57,2.0,2,516,0,0,1,10791,90000
2228,1114,1114,1114,5,5,3,4,20,20,2.5,2,576,0,1,1,13695,159000
2368,1339,1339,1029,5,6,3,3,66,59,1.0,1,294,0,1,1,7560,139000
3534,2376,1158,1158,8,5,4,4,19,18,3.5,3,853,1,1,1,14215,325300
1745,1108,1108,637,7,7,3,4,94,74,1.0,1,280,1,1,1,7449,139400
3572,1795,1795,1777,8,5,4,4,22,22,2.0,2,534,1,1,1,9742,230000
2100,1060,1060,1040,5,7,3,3,48,48,2.0,2,572,1,1,1,4224,129900
2120,1060,1060,1060,5,8,3,4,56,23,2.0,1,270,1,1,1,8246,154000
3166,1600,1600,1566,8,5,4,4,17,17,2.0,3,890,1,1,1,14230,256300
1800,900,900,900,5,7,3,4,73,24,1.5,2,576,0,1,1,7200,134800
3408,1704,1704,1704,8,5,4,4,17,16,3.0,3,772,1,1,1,11478,306000
3084,1600,1600,1484,5,6,3,3,67,27,2.0,1,319,2,1,1,16321,207500
1040,520,520,520,4,6,3,2,97,74,1.0,1,240,0,1,1,6324,68500
1966,1317,649,649,4,4,3,3,104,74,1.0,1,250,0,1,1,8500,40000
2456,1228,1228,1228,5,6,3,4,58,18,1.5,1,271,0,1,1,8544,149350
2468,1234,1234,1234,8,5,4,4,17,17,2.0,2,484,0,1,1,11049,179900
3098,1700,1700,1398,5,5,3,4,65,65,2.0,2,447,1,1,1,10552,165500
3122,1561,1561,1561,9,5,5,5,19,19,3.0,2,556,1,1,1,7313,277500
3569,2452,1132,1117,8,5,4,4,20,19,3.5,3,691,1,1,1,13418,309000
2194,1097,1097,1097,5,5,3,3,30,29,1.5,2,672,0,1,1,10859,145000
2594,1297,1297,1297,5,6,3,3,70,34,1.5,2,498,1,1,1,8532,153000
2114,1057,1057,1057,5,7,3,4,71,17,2.0,1,246,0,1,1,7922,109000
1152,1152,1152,0,4,5,3,2,69,69,2.0,0,0,0,0,0,6040,82000
2412,1324,1324,1088,6,5,3,3,59,59,2.0,2,440,1,1,1,8658,160000
2678,1328,1328,1350,5,6,3,3,65,65,2.0,1,308,2,1,1,16905,170000
1724,884,884,840,5,7,3,4,41,41,2.0,2,504,0,1,1,9180,144000
1876,938,938,938,5,6,3,3,49,44,2.0,1,308,0,1,1,9200,130250
2300,1150,1150,1150,5,6,3,3,65,65,2.0,1,300,0,1,1,7945,141000
3504,1752,1752,1752,9,5,5,5,19,19,3.0,2,576,1,1,1,7658,319900
3583,2149,1518,1434,7,5,4,4,21,21,2.5,2,670,1,1,1,12822,239686
3312,1656,1656,1656,8,5,4,4,18,18,2.0,3,826,0,1,1,11096,249700
2188,1452,736,736,4,5,3,3,104,16,2.0,0,0,0,1,0,4456,113000
1910,955,955,955,5,7,3,3,58,58,2.0,1,386,0,1,1,7742,127000
2264,1470,794,794,6,6,3,3,27,27,2.5,2,388,0,1,1,13869,177000
1632,1176,816,816,6,6,3,3,90,74,1.0,2,528,1,1,1,6240,114500
1632,816,816,816,5,5,2,3,61,61,2.0,2,516,0,1,1,8472,110000
3684,1842,1842,1842,9,5,4,4,43,37,2.5,3,894,1,1,1,50271,385000
1744,1360,1360,384,5,5,3,3,69,69,1.0,2,572,1,1,1,7134,130000
2850,1425,1425,1425,6,5,3,3,60,60,2.0,2,576,1,1,1,10175,180500
2709,1739,983,970,8,5,4,4,25,24,3.5,2,480,0,1,1,2645,172500
2580,1720,860,860,7,5,4,4,20,20,2.5,2,565,0,1,1,11645,196500
4355,2945,1426,1410,10,5,5,4,18,18,3.5,3,641,1,1,1,13682,438780
1560,780,780,780,5,7,3,3,52,52,1.0,1,352,0,1,1,7200,124900
2316,1158,1158,1158,6,5,3,4,20,20,2.5,2,576,0,1,1,13072,158000
1641,1111,581,530,5,7,3,2,104,28,1.0,1,288,0,1,1,7200,101000
2740,1370,1370,1370,8,5,4,4,18,18,2.0,2,484,1,1,1,6442,202500
2286,1710,902,576,7,6,3,3,103,74,2.0,2,480,0,1,1,10300,140000
3091,2034,1057,1057,7,5,3,4,27,26,3.5,2,645,0,1,1,9375,219500
3616,2473,1143,1143,8,5,4,4,20,19,2.5,3,852,1,1,1,9591,317000
4154,2207,2207,1947,7,5,3,3,54,35,3.0,2,576,1,1,1,19900,180000
2932,1479,1479,1453,7,5,4,4,21,21,3.0,2,558,0,1,1,10665,226000
1494,747,747,747,4,6,3,3,79,74,1.0,1,220,0,1,1,4608,80000
3591,2287,1304,1304,7,4,4,3,71,71,2.0,2,667,1,1,1,15593,225000
4446,2223,2223,2223,7,6,3,3,51,51,3.0,2,516,2,1,1,13651,244000
1690,845,845,845,4,6,3,3,42,18,2.0,2,360,0,1,1,7599,129500
2550,1718,885,832,7,5,3,3,26,26,2.5,2,427,1,1,1,10141,185000
2172,1086,1086,1086,5,7,3,3,70,21,2.0,2,490,0,1,1,10200,144900
2445,1605,840,840,3,6,4,3,109,74,2.0,1,379,0,1,1,5790,107400
1450,988,526,462,4,5,3,3,51,51,2.0,1,297,0,1,1,1596,91000
1904,952,952,952,4,7,3,3,68,68,1.0,1,283,0,1,1,8475,135750
1957,1285,1072,672,5,5,3,3,76,23,2.0,1,240,0,1,1,8635,127000
3536,1768,1768,1768,4,5,3,3,56,56,2.0,0,0,0,1,0,10778,136500
1670,1230,682,440,5,6,3,3,114,43,1.5,2,440,0,1,1,10440,110000
3038,2142,1182,896,6,6,3,4,56,56,2.5,1,509,1,1,1,13000,193500
2574,1337,1337,1237,6,5,3,3,26,26,3.0,2,405,0,1,1,4500,153500
3126,1563,1563,1563,8,5,3,4,17,17,2.0,3,758,1,1,1,10206,245000
2130,1065,1065,1065,5,5,3,3,64,64,1.5,2,461,0,1,1,8892,126500
1858,1474,804,384,7,5,3,3,29,28,2.5,2,400,1,1,1,8530,168500
3705,2417,1301,1288,8,5,4,4,33,32,2.5,2,462,1,1,1,16059,260000
2244,1560,684,684,6,5,4,4,19,19,2.5,2,400,1,1,1,11911,174000
1836,1224,612,612,6,5,4,4,15,15,2.5,2,528,0,1,1,3951,164500
2026,1526,1013,1013,3,2,2,2,109,42,1.0,0,0,0,1,0,8470,85000
1980,990,990,990,4,5,3,3,30,29,2.0,0,0,0,1,0,8070,123600
1040,1040,1040,0,4,5,3,3,74,74,1.0,2,420,0,0,1,7200,109900
2470,1235,1235,1235,5,3,3,3,63,63,1.0,2,480,0,1,1,8500,98600
1840,964,964,876,5,7,3,3,103,18,2.0,2,432,0,1,1,13360,163500
3505,2291,1260,1214,6,6,3,3,114,26,2.5,2,506,1,1,1,7200,133900
2610,1786,905,824,6,5,3,4,27,27,3.5,2,684,0,1,1,9337,204750
2150,1470,680,680,6,8,5,3,31,31,2.5,2,420,1,1,1,9765,185000
3176,1588,1588,1588,7,5,4,4,25,25,2.0,2,472,0,1,1,10264,214000
1920,960,960,960,4,5,3,3,59,59,2.0,1,432,0,1,1,10921,94750
1293,835,835,458,5,5,3,3,104,74,1.0,1,366,0,1,1,10625,83000
2175,1225,1225,950,4,5,3,3,65,65,2.5,0,0,0,1,0,9320,128950
3220,1610,1610,1610,6,7,3,4,47,23,3.0,2,480,2,1,1,10603,205000
2473,1732,977,741,6,5,4,4,39,39,2.5,2,476,1,1,1,9206,178000
1535,1535,1535,0,5,5,3,3,45,45,2.0,2,410,0,0,1,7018,118964
2452,1226,1226,1226,7,5,3,4,15,15,2.0,3,740,0,1,1,10402,198900
2858,1818,1226,1040,7,4,3,3,93,74,1.5,1,240,2,1,1,7758,169500
3045,1992,1053,1053,8,5,4,4,21,20,2.5,2,648,1,1,1,9375,250000
1688,1047,1047,641,4,7,3,3,139,29,1.0,1,273,0,1,1,10800,100000
1578,789,789,789,5,5,3,3,76,74,1.0,1,250,0,1,1,6000,115000
2310,1517,997,793,5,7,3,2,105,19,2.0,0,0,0,1,0,8500,115000
3688,1844,1844,1844,6,6,3,3,47,47,2.0,2,546,1,1,1,11751,190000
2849,1855,1216,994,6,4,3,3,70,52,2.0,1,325,0,1,1,9525,136900
1814,1430,774,384,7,5,3,3,24,24,2.5,2,400,1,1,1,7750,180000
3960,2696,1282,1264,7,5,4,5,17,17,3.5,3,792,1,1,1,9965,383970
4068,2259,2259,1809,6,5,3,4,71,71,3.0,2,450,2,1,1,21000,217000
3348,2320,1436,1028,6,8,3,4,79,22,3.5,1,180,1,1,1,7259,259500
2187,1458,729,729,6,5,3,3,25,25,2.5,2,440,1,1,1,3230,176000
2184,1092,1092,1092,5,5,3,3,62,62,1.5,1,288,1,1,1,11616,139000
2250,1125,1125,1125,5,5,3,3,18,17,1.5,2,430,0,1,1,8536,155000
4895,3222,1699,1673,7,5,3,4,34,34,4.0,3,594,2,1,1,12376,320000
2184,1456,728,728,6,5,4,4,19,18,2.5,2,390,1,1,1,8461,163990
1926,988,988,938,6,5,3,3,55,55,2.0,2,540,2,1,1,21453,180000
1855,1123,772,732,4,5,3,3,85,74,1.0,1,264,0,1,1,6060,100000
2160,1080,1080,1080,6,7,3,3,66,66,1.0,1,288,0,1,1,9464,136000
2398,1199,1199,1199,6,5,4,4,31,31,2.0,2,530,0,1,1,7892,153900
2948,1586,1586,1362,6,5,3,3,45,26,2.0,2,435,1,1,1,17043,181000
1040,754,520,520,6,8,3,3,89,42,2.0,0,0,0,1,0,6780,84500
2036,958,958,1078,6,5,3,3,48,48,2.0,2,440,1,1,1,4928,128000
1512,840,840,672,5,7,3,3,94,74,1.0,0,0,1,1,0,4388,87000
2008,1348,660,660,6,5,3,3,58,58,1.5,2,453,1,1,1,7590,155000
2061,1053,1053,1008,5,7,3,5,66,33,2.0,2,750,0,1,1,8973,150000
3081,2157,1216,924,7,6,3,4,58,58,2.5,2,487,2,1,1,14200,226000
3046,2054,1022,992,6,5,4,4,24,24,3.5,2,390,1,1,1,12224,244000
2390,1327,1327,1063,5,6,3,4,65,22,2.0,2,624,0,1,1,7388,150750
2563,1296,1296,1267,8,5,4,4,23,22,3.0,2,471,0,1,1,6853,220000
3182,1721,1721,1461,5,6,3,3,56,31,2.5,2,440,1,1,1,10335,180000
2986,1682,1682,1304,7,6,3,3,54,54,2.0,2,530,1,1,1,10400,174000
2428,1214,1214,1214,5,5,3,3,57,57,2.0,1,318,1,1,1,10355,143000
3866,1959,1959,1907,7,5,3,3,36,35,3.0,3,766,0,1,1,11070,171000
2856,1852,1004,1004,8,5,4,4,25,24,2.5,3,660,2,1,1,9066,230000
2692,1764,928,928,6,5,3,4,27,27,3.5,2,470,0,1,1,15426,231500
1728,864,864,864,4,5,3,3,53,53,1.0,0,0,1,1,0,10500,115000
3468,1734,1734,1734,7,5,4,4,19,19,3.0,2,660,0,1,1,11645,260000
2295,1385,910,910,5,4,3,3,72,72,2.0,2,720,0,1,1,8520,166000
2991,1501,1501,1490,7,5,4,4,25,25,3.0,2,577,0,1,1,10335,204000
3456,1728,1728,1728,5,5,3,3,61,61,3.0,2,504,0,1,1,9100,125000
2679,1709,970,970,6,5,4,4,20,18,2.0,2,380,0,1,1,2522,130000
1590,875,875,715,5,7,3,3,93,31,2.0,1,180,0,1,1,6120,105000
2919,2035,884,884,7,5,4,4,23,23,2.5,2,434,1,1,1,9505,222500
2160,1080,1080,1080,7,5,3,4,20,19,2.0,0,0,0,1,0,7500,141000
2240,1344,896,896,5,4,3,3,88,74,1.0,1,240,0,1,1,6240,115000
1938,969,969,969,5,6,3,3,49,49,1.5,2,440,0,1,1,10356,122000
3420,1710,1710,1710,8,5,4,4,17,16,3.0,3,866,1,1,1,13891,372402
2818,1993,1097,825,6,5,3,3,53,53,2.5,2,495,1,1,1,14803,190000
2854,1252,1252,1602,6,7,3,3,64,49,2.0,2,564,1,1,1,13500,235000
2400,1200,1200,1200,6,5,3,3,101,74,1.0,1,312,0,1,1,11340,125000
1668,1096,572,572,6,5,3,3,100,74,1.0,0,0,0,1,0,9600,79000
1040,1040,1040,0,5,7,3,3,74,74,1.0,2,625,0,0,1,7200,109500
2742,1968,774,774,8,5,4,5,15,14,2.5,3,680,1,1,1,12003,269500
2938,1947,991,991,7,5,4,4,20,19,2.5,2,678,1,1,1,12552,254900
3854,2462,1392,1392,7,5,4,4,19,18,3.5,2,576,1,1,1,19378,320000
2464,1232,1232,1232,6,6,3,3,40,40,2.0,2,516,0,1,1,11120,162500
4240,2668,1572,1572,9,5,4,5,21,20,3.5,3,726,2,1,1,13688,412500
3082,1541,1541,1541,7,5,4,4,19,19,2.0,2,532,1,1,1,12182,220000
1764,882,882,882,4,6,3,3,68,68,1.0,0,0,0,1,0,5500,103200
2765,1616,1149,1149,6,7,3,4,98,20,2.0,1,216,0,1,1,5400,152000
1999,1355,808,644,5,7,3,3,84,25,3.0,0,0,0,1,0,10106,127500
3484,1867,1867,1617,5,5,4,3,69,31,2.0,1,303,3,1,1,10708,190000
3743,2161,1610,1582,8,5,4,5,17,17,2.5,3,789,1,1,1,10562,325624
2560,1720,840,840,7,5,4,4,20,20,2.5,2,440,1,1,1,8244,183500
3393,1707,1707,1686,8,6,4,3,43,43,2.5,2,511,1,1,1,16669,228000
1574,1382,854,720,5,6,3,3,83,74,1.5,2,660,0,1,1,12358,128500
2736,1656,1656,1080,6,5,3,3,64,64,2.0,2,528,2,1,1,31770,215000
2831,1767,1064,1064,7,7,4,4,37,37,3.0,2,504,1,1,1,5306,239000
2724,1362,1362,1362,6,5,3,3,63,63,2.5,2,504,1,1,1,10197,163000
3257,1651,1651,1606,6,5,3,3,38,38,3.0,2,616,1,1,1,12416,184000
3360,2158,2158,1202,6,7,3,4,74,23,3.0,2,576,1,1,1,12615,243000
3211,2060,1164,1151,6,5,4,3,36,35,3.0,2,521,1,1,1,10029,211000
2972,1920,1252,1052,5,5,4,4,66,66,3.0,2,451,1,1,1,13650,172500
4450,2234,2234,2216,9,5,5,5,16,15,3.0,3,1166,1,1,1,17423,501837
1936,968,968,968,5,6,4,3,101,18,1.0,2,480,0,1,1,8520,100000
2281,1525,769,756,6,5,4,4,24,24,2.5,2,440,1,1,1,2117,177000
2595,1802,901,793,7,6,3,3,104,74,1.5,1,216,1,1,1,7588,200100
1340,1340,1340,0,5,6,3,3,67,18,1.0,1,252,1,0,1,9060,120000
3444,2082,1362,1362,7,5,3,4,21,21,2.5,2,484,0,1,1,11426,200000
1756,1252,936,504,5,8,3,3,116,33,1.0,2,576,0,1,1,7438,127000
4143,3608,1518,1107,10,9,4,5,132,31,2.5,3,840,2,1,1,22950,475000
2405,1217,1217,1188,7,5,3,4,34,33,3.0,2,497,0,1,1,9947,173000
2172,1656,808,660,5,7,3,3,108,37,2.5,1,180,0,1,1,10410,135000
2310,1224,1224,1086,5,5,3,3,45,45,3.0,2,528,2,1,1,7018,153337
3186,1593,1593,1593,8,5,4,5,23,22,2.5,2,682,1,1,1,4923,286000
3580,2727,1549,853,8,8,4,4,92,30,2.5,2,440,2,1,1,10570,315000
2204,1479,725,725,7,9,3,4,52,20,2.5,2,484,0,1,1,7472,184000
2862,1431,1431,1431,7,5,4,4,25,25,3.0,2,666,0,1,1,9017,192000
2679,1709,970,970,7,5,4,4,20,20,2.0,2,380,0,1,1,2522,130000
1728,864,864,864,5,7,3,3,52,52,1.0,1,352,0,1,1,7180,127000
2311,1456,855,855,6,6,3,3,48,48,2.5,2,440,1,1,1,2280,148500
3452,1726,1726,1726,7,5,5,5,17,17,3.0,3,786,1,1,1,9416,311872
4080,3112,1360,1360,8,4,4,4,106,34,3.5,2,795,1,1,1,25419,235000
2613,2229,929,755,6,6,3,3,112,74,1.0,0,0,0,1,0,5520,104000
3426,1713,1713,1713,8,5,4,5,20,19,3.0,3,856,1,1,1,9591,274900
2242,1121,1121,1121,4,5,3,3,21,20,2.0,2,440,0,1,1,8546,140000
2475,1279,1279,1196,6,6,3,3,47,47,2.5,2,473,2,1,1,10125,171500
1927,1310,865,617,6,6,3,3,100,74,2.0,1,398,0,1,1,7000,112000
1696,848,848,848,6,5,4,4,20,20,2.0,2,420,1,1,1,4438,149000
2004,1284,720,720,5,7,3,3,77,74,1.5,1,240,0,1,1,3500,110000
2866,1442,1442,1424,7,5,3,3,34,34,2.0,2,500,0,1,1,11851,180500
2836,1696,1696,1140,5,5,3,3,62,62,1.5,1,349,1,1,1,13673,143900
2200,1100,1100,1100,4,5,3,3,64,64,2.0,1,312,1,1,1,12493,141000
3219,2062,1180,1157,7,5,4,3,36,35,3.5,2,454,1,1,1,14364,277000
2184,1092,1092,1092,6,7,3,3,60,60,2.0,2,504,0,1,1,8250,145000
1728,864,864,864,5,6,3,3,99,74,2.0,0,0,0,1,0,5604,98000
2424,1212,1212,1212,6,5,3,4,15,15,2.0,2,460,0,1,1,10420,186000
2752,1852,932,900,7,5,3,4,15,15,3.5,2,644,1,1,1,8640,252678
1980,990,990,990,5,5,3,3,29,29,1.5,2,576,0,1,1,13568,156000
2081,1392,689,689,6,7,3,3,47,47,1.5,1,299,0,1,1,10900,161750
2306,1236,1236,1070,5,6,3,4,67,28,1.5,1,447,1,1,1,10011,134450
2872,1436,1436,1436,7,5,4,4,20,20,3.0,2,484,0,1,1,8450,210000
2014,1328,810,686,4,4,3,3,99,74,1.0,1,210,0,1,1,9906,107000
2752,1954,1137,798,7,9,4,4,85,18,2.0,2,431,2,1,1,15660,311500
2496,1248,1248,1248,7,5,4,4,19,18,2.0,2,438,0,1,1,3010,167240
2996,1498,1498,1498,7,5,4,4,18,18,2.0,2,675,0,1,1,8990,204900
3277,2267,1010,1010,6,5,4,4,22,22,2.5,2,390,1,1,1,8068,200000
2265,1552,811,713,6,6,3,3,49,49,3.5,2,434,1,1,1,11475,179900
1728,864,864,864,4,6,3,3,53,53,1.0,2,576,0,1,1,10500,97000
4784,2392,2392,2392,10,5,5,5,21,21,2.0,3,968,1,1,1,13472,386250
1932,1302,630,630,5,5,3,3,53,53,2.5,1,280,0,1,1,1680,112000
3723,2520,1214,1203,7,5,4,4,29,29,2.5,3,721,1,1,1,9950,290000
1470,987,483,483,6,6,3,3,54,54,1.5,1,280,0,1,1,1869,106000
1824,912,912,912,5,5,3,3,57,57,1.0,1,336,1,1,1,8521,125000
2928,1555,1555,1373,7,5,4,4,19,18,2.0,2,430,1,1,1,3182,192500
2388,1194,1194,1194,6,6,3,3,65,65,2.0,1,312,0,1,1,8760,148000
4256,2794,1490,1462,8,5,4,5,29,28,3.5,3,810,1,1,1,15138,403000
1470,987,483,483,6,5,3,3,52,52,1.5,1,288,1,1,1,1680,94500
1788,894,894,894,5,6,3,3,48,48,2.0,1,308,0,1,1,10650,128200
2820,1960,860,860,6,5,4,4,22,22,3.5,2,440,2,1,1,7851,216500
1470,987,483,483,6,3,3,3,53,53,1.5,1,264,0,1,1,1680,89500
2828,1414,1414,1414,7,5,4,4,20,20,2.0,2,494,0,1,1,8773,185500
2740,1744,1014,996,7,7,4,4,31,21,2.5,2,457,0,1,1,9453,194500
3388,1694,1694,1694,8,5,5,4,17,17,2.0,3,818,0,1,1,12030,318000
2222,1487,798,735,6,4,3,3,79,74,1.5,1,220,1,1,1,8741,113000
3132,1566,1566,1566,8,5,4,4,16,16,3.0,2,750,0,1,1,9000,262500
1552,866,866,686,5,9,3,4,79,27,1.0,0,0,0,1,0,3880,110500
1980,1440,889,540,5,4,3,3,124,74,1.0,1,352,0,1,1,5000,79000
1843,1217,626,626,6,6,3,3,44,44,1.5,1,288,1,1,1,10762,120000
3058,2110,1222,948,7,5,4,4,30,22,3.5,2,463,2,1,1,8880,205000
3717,1872,1872,1845,7,5,3,3,36,36,2.5,2,604,1,1,1,10400,241500
2948,1928,908,1020,6,8,3,2,114,74,2.0,1,440,0,1,1,9142,137000
2742,1375,1375,1367,6,5,3,3,70,70,1.0,2,451,1,1,1,11310,140000
2508,1668,840,840,7,5,4,4,21,21,2.5,2,500,0,1,1,11317,180000
3588,2144,1444,1444,6,7,4,4,66,18,2.5,2,389,2,1,1,159000,277000
2034,1306,1306,728,3,2,3,2,84,58,1.0,0,0,0,1,0,5350,76500
3198,1625,1625,1573,8,5,4,4,18,17,3.5,2,538,1,1,1,4750,235000
2438,1640,798,798,6,5,4,4,20,20,2.5,2,520,0,1,1,8366,173000
2604,1302,1302,1302,6,7,3,4,60,33,2.5,1,309,0,1,1,9350,158000
2628,1314,1314,1314,5,6,3,3,67,67,2.0,1,294,0,1,1,8400,145000
3266,2291,1005,975,7,5,4,4,25,25,2.5,2,429,1,1,1,8738,230000
2592,1728,864,864,6,5,4,4,21,21,2.5,2,673,0,1,1,8791,207500
3208,1604,1604,1604,7,5,4,4,18,18,3.5,2,660,1,1,1,8814,220000
2755,1792,963,963,7,5,4,4,23,23,2.5,2,564,1,1,1,12435,231500
882,882,882,0,5,5,3,3,68,68,1.0,1,308,0,0,1,12702,97000
2744,1382,1382,1362,6,5,3,3,62,62,2.0,2,884,1,1,1,19296,176000
4056,2574,1482,1482,8,5,4,5,17,17,2.5,3,868,1,1,1,9588,276000
1718,1212,1212,506,6,7,3,3,47,29,2.0,2,492,1,1,1,8471,151000
1852,1316,926,926,5,7,3,3,95,23,2.0,2,484,0,1,1,5500,130000
1444,764,764,680,5,5,3,3,99,20,1.0,2,504,0,1,1,5232,73000
2844,1422,1422,1422,6,6,3,4,43,43,2.0,2,576,1,1,1,12090,175500
2313,1511,802,802,6,5,3,3,27,27,3.5,2,413,1,1,1,11207,185000
2492,2192,1052,720,5,8,3,4,85,27,2.5,1,240,1,1,1,8400,179500
1518,778,778,740,5,6,3,3,84,69,1.0,1,924,1,1,1,6900,120500
2256,1113,1113,1143,6,7,3,3,48,48,2.5,1,504,1,1,1,7917,148000
3034,1939,1095,1095,8,5,4,4,18,18,2.5,3,1053,1,1,1,10728,266000
2748,1363,1363,1385,7,7,3,3,70,19,2.0,2,439,2,1,1,39104,241500
3422,2270,1164,1152,8,7,4,4,25,17,2.5,3,671,1,1,1,11764,290000
2872,1632,1632,1240,6,6,3,3,66,36,3.0,1,338,1,1,1,9600,139000
1632,816,816,816,5,7,3,3,42,42,1.0,1,264,0,1,1,8314,124500
2500,1548,952,952,7,7,4,5,99,17,2.5,2,672,0,1,1,7264,205000
3120,1560,1560,1560,7,5,4,4,21,21,2.0,2,573,0,1,1,9196,201000
1728,864,864,864,4,5,3,3,73,73,1.0,2,400,0,1,1,19138,141000
4242,2121,2121,2121,9,5,5,5,18,17,2.5,3,732,1,1,1,14450,415298
3182,2022,1156,1160,7,5,3,3,47,47,2.5,2,505,1,1,1,10005,192000
2789,1982,1175,807,7,6,4,4,35,35,2.5,2,575,1,1,1,11287,228500
2524,1262,1262,1262,6,5,4,4,18,18,2.0,2,572,0,1,1,7200,185000
2628,1314,1314,1314,7,5,4,4,17,16,3.0,2,626,1,1,1,5063,207500
2936,1468,1468,1468,8,5,4,4,16,15,2.0,3,898,1,1,1,9612,244600
3150,1575,1575,1575,6,5,4,4,32,32,3.0,2,529,0,1,1,8012,179200
1875,1250,625,625,7,5,4,4,18,17,2.5,2,528,0,1,1,4251,164700
2646,1734,1085,912,6,7,3,4,62,43,1.5,2,440,1,1,1,9786,159000
1716,858,858,858,4,4,3,3,53,53,1.0,0,0,0,1,0,8125,88000
1782,900,900,882,5,5,3,3,57,57,1.0,1,280,0,1,1,9819,122000
